45 mph,31st Street
35 mph,North Cicero Avenue
55 mph,Adlai Stevenson Expressway
55 mph,Adlai Stevenson Expressway
55 mph,n/a
55 mph,n/a
55 mph,n/a
55 mph,n/a
55 mph,Adlai Stevenson Expressway
55 mph,n/a
55 mph,n/a
45 mph,Kennedy Expressway
55 mph,Kennedy Expressway
55 mph,Kennedy Expressway
55 mph,Kennedy Expressway
55 mph,Kennedy Expressway
40 mph,North Lake Shore Drive
40 mph,Main Street
55 mph,Adlai Stevenson Expressway
55 mph,Adlai Stevenson Expressway
60 mph,Ronald Reagan Memorial Tollway
70 mph,n/a
70 mph,n/a
70 mph,Indiana Toll Road
55 mph,Borman Expressway
70 mph,Indiana Toll Road
70 mph,Indiana Toll Road
55 mph,Borman Expressway
55 mph,Borman Expressway
70 mph,Indiana Toll Road
55 mph,Borman Expressway
55 mph,Kingery Expressway
55 mph,Borman Expressway
45 mph,n/a
70 mph,Indiana Toll Road
70 mph,Indiana Toll Road
45 mph,North Kirk Road
40 mph,75th Street
50 mph,Kingery Highway
55 mph,Adlai Stevenson Expressway
55 mph,Adlai Stevenson Expressway
45 mph,Dan Ryan Expressway
45 mph,Dan Ryan Expressway
55 mph,Kennedy Expressway
40 mph,Irving Park Road
45 mph,Kennedy Expressway
40 mph,North Lake Shore Drive
65 mph,Jane Addams Memorial Tollway
70 mph,Jane Addams Memorial Tollway
30 mph,West Logan Boulevard
55 mph,Kennedy Expressway
55 mph,Ronald Reagan Memorial Tollway
55 mph,n/a
65 mph,Jane Addams Memorial Tollway
30 mph,West Peterson Avenue
60 mph,Tri-State Tollway
30 mph,West Lawrence Avenue
20 mph,Wicker Park Drive
20 mph,Robertson Place
35 mph,Ripley Street
20 mph,River Drive
35 mph,Kennedy Avenue
20 mph,Walnut Drive
20 mph,Sycamore Avenue
25 mph,Wildwood Road
35 mph,North Ripley Street
50 mph,US Highway 20
20 mph,North County Line Road
30 mph,South County Line Road
45 mph,Dunes Highway
20 mph,North Mineral Springs Road
20 mph,Evergreen Circle
30 mph,South Jefferson Street
30 mph,South Jefferson Street
25 mph,North 5th Street
35 mph,n/a
25 mph,n/a
30,Garfield Avenue
70 mph,n/a
35 mph,n/a
30 mph,n/a
30,Garfield Avenue
30,Garfield Avenue
25 mph,North 6th Street
20 mph,John M Boor Drive
25 mph,North 7th Street
20 mph,Gunnison Court
20 mph,South 1st Street
25 mph,Foxcroft Drive
20 mph,Summit Drive
25 mph,Oxford Lane
20 mph,Riemer Way
45 mph,Kirk Road
20 mph,Tipperary Street
30 mph,1st Street
30 mph,Ellen Lane
20 mph,Towne Court
20 mph,Breckenridge Drive
20 mph,Gregory M Sears Drive
30 mph,North Elmwood Drive
25 mph,Sennet Street
25 mph,York Lane
25 mph,Manchester Lane
35 mph,Hankes Road
20 mph,Briarwood Drive
20 mph,Pamela Court
40 mph,North Washington Avenue
20 mph,Industrial Drive
20 mph,Timber Glen Drive
20 mph,Woodland Park Court
20 mph,Durango Drive
20 mph,Andra Court
35 mph,South 3rd Avenue
12 mph,Tall Oaks Drive
12 mph,Tall Oaks Drive
20 mph,Suzanne Street
20 mph,Boulder Drive
25 mph,Alyce Lane
20 mph,Copper Mountain Drive
35 mph,Orchard Gateway Boulevard
25 mph,Stratford Lane
55 mph,Higgins Road
40 mph,North Farnsworth Avenue
25 mph,Blossom Court
25 mph,Cambridge Court
25 mph,Carnation Drive
25 mph,Hawthorne Drive
25 mph,Plymouth Court
25 mph,Stone Hill Road
25 mph,Stone Hill Road
25 mph,Arbor Lane
20 mph,Pierce Street
20 mph,Telluride Court
30 mph,Briarcliff Road
20 mph,Kerry Court
25 mph,Old Reserve Road
25 mph,Lombardy Lane
25 mph,Loreen Court
25 mph,Isleview Drive
25 mph,Beaver Crossing
25 mph,West Benton Street
25 mph,Gloria Lane
25 mph,Paradise Parkway
25 mph,Waubonsee Court
25 mph,Briarwood Lane
25 mph,Faro Court
25 mph,Cornell Drive
25 mph,Edgebrook Court
25 mph,Alex Court
25 mph,Ashley Court
25 mph,Heatherwood Drive
25 mph,Grant Street
25 mph,Pinehurst Court
30 mph,Collins Road
25 mph,Saratoga Court
25 mph,Dylan Court
25 mph,Whitewater Lane
25 mph,Dorchester Court
25 mph,Saddlebrook Court
25 mph,North Street
25 mph,Douglas Street
25 mph,Mandy Lane
25 mph,Oaklawn Avenue
25 mph,Grays Court
20 mph,Brentwood Drive
25 mph,Chesterfield Court
25 mph,Maryhill Lane
25 mph,River Run Court
25 mph,Robert Road
25 mph,Longford Court
25 mph,Whitetail Crossing
25 mph,Crofton Court
25 mph,Grays Drive
25 mph,Badger Lane
35 mph,Mc Cornack Road
25 mph,Ashland Street
25 mph,Ashland Street
25 mph,Chesterfield Drive
25 mph,Judson Street
25 mph,East Merchants Drive
25 mph,Windcrest Drive
25 mph,Yoakum Boulevard
25 mph,Creekside Court
25 mph,Northgate Drive
25 mph,Pfund Court
25 mph,Nottingham Court
25 mph,Penn Court
25 mph,Mustang Drive
25 mph,Hackney Lane
25 mph,Charolotte Lane
20 mph,Aspen Circle
25 mph,Maple Street
25 mph,Judith Circle
25 mph,Parkside Lane
25 mph,Greenview Lane
25 mph,Pearce's Ford Drive
25 mph,Nottingham Drive
25 mph,Half Moon Court
25 mph,Willowwood Drive South
25 mph,Ash Grove Lane
25 mph,Sunshine Court
25 mph,Barnaby Drive
25 mph,Eastway Drive
25 mph,Mark Court
25 mph,Terrace Lane
25 mph,East Benton Street
25 mph,Deerpath Drive
30 mph,Bristol Ridge Road
25 mph,Brandon Court
25 mph,Stoneleigh Lane
25 mph,Fuller Street
25 mph,Bucktail Drive
25 mph,Park Street
25 mph,North Sparkle Court
25 mph,Joseph Court
55 mph,Brisbin Road
25 mph,Hickory Street
20 mph,Deborah Street
20 mph,Welch Street
25 mph,Windsor Drive
5 mph,Green Meadow Apartment
25 mph,West Van Buren Street
55 mph,Hopkins Road
25 mph,Cinderford Court
25 mph,Lakeview Court
25 mph,Arrowwood Drive
25 mph,Christian Court
25 mph,Essex Drive
25 mph,Bent Tree Court
25 mph,Derby Court
25 mph,Thornbury Court
25 mph,Williamsburg Drive
25 mph,Reagan Drive
25 mph,Cinderford Drive
25 mph,Wilmette Street
25 mph,Crystal Court
25 mph,Quincy Drive
25 mph,Preswick Court
25 mph,South Glen Circle
25 mph,Lakeview Drive
25 mph,Garfield Street
25 mph,Thornbury Drive
55 mph,Galena Road
20 mph,Kildare Street
25 mph,Norway Place
25 mph,Blossom Lane
25 mph,Richmond Court
25 mph,Ferret Crossing
25 mph,Seton Creek Drive
25 mph,Seton Creek Drive
25 mph,Buckingham Court
25 mph,Gates Creek Drive
25 mph,Bell Court
35 mph,East Indian Trail
25 mph,Richmond Drive
25 mph,Coventry Court
25 mph,Pinehurst Lane
25 mph,Hoover Drive
25 mph,Cascade Lane
25 mph,West Jackson Street
25 mph,North Merchants Drive
25 mph,Wingate Court
25 mph,Fox Chase Court
